source,target,score_1,score_2,editor_1,editor_2,aligner,agreement,final_score
кофеем,кофе,2,2,E10,E11,a,1,2
шевеля,двигая,2,1,E10,E11,a,0,2
наскоро,быстро,2,2,E10,E11,a,1,2
бормотал,говорил,2,1,E10,E11,a,0,2
Рыдания,Слёзы,2,1,E10,E11,a,0,2
задремала,заснула,2,1,E10,E11,a,0,2
Скверно,плохо,2,2,E10,E11,a,1,2
шутливый,весёлый,2,1,E10,E11,a,0,2
уморился,устал,2,1,E10,E11,a,0,2
поэма,стихи,2,1,E10,E11,a,0,2
селом,деревней,2,0,E10,E11,a,0,2
злиться,сердиться,2,2,E10,E11,a,1,2
скрыпит,скрипит,2,0,E10,E11,a,0,2
умоляем,просим,2,1,E10,E11,a,0,2
насурмлена,накрашена,2,2,E10,E11,a,1,2
корчмы,трактира,2,1,E10,E11,a,0,2
суровой,жестокую,2,0,E10,E11,a,0,2
малютка,ребёнок,2,1,E10,E11,a,0,2
притворил,закрыл,2,0,E10,E11,a,0,2
покорную,послушную,2,2,E10,E11,a,1,2
выкинут,выбросили,2,0,E10,E11,a,0,2
непостоянна,легкомысленна,2,1,E10,E11,a,0,2
позволяете,разрешаете,2,0,E10,E11,a,0,2
лавочки,скамейки,2,1,E10,E11,a,0,2
явиться,пришёл,2,0,E10,E11,a,0,2
прекрасною,прекрасной,2,0,E10,E11,a,0,2
оробела,испугалась,2,2,E10,E11,a,1,2
полезною,полезной,2,0,E10,E11,a,0,2
жестоких,злых,1,2,E10,E11,a,0,2
чудовищных,ужасных,2,2,E10,E11,a,1,2
сказал,Говорил,2,0,E10,E11,a,0,2
озираться,оглядываться,2,2,E10,E11,a,1,2
потешались,смеялись,2,0,E10,E11,a,0,2
помощию,помощью,2,2,E12,E13,a,1,2
привлекательною,красивой,2,2,E12,E13,a,1,2
ошеломленный,испуганный,2,1,E12,E13,a,0,2
нечувствительности,равнодушия,2,2,E12,E13,a,1,2
сновидение,сон,2,1,E12,E13,a,0,2
лакей,Слуга,2,2,E12,E13,a,1,2
сведениям,информация,2,1,E12,E13,a,0,2
затеял,организовать,2,0,E12,E13,a,0,2
сказать,говорить,2,1,E12,E13,a,0,2
покосился,посмотрел,2,1,E12,E13,a,0,2
прекратить,закончить,2,2,E12,E13,a,1,2
раздора,ссор,0,2,E12,E13,a,0,2
Однако,но,2,0,E12,E13,a,0,2
кобылу,лошадь,2,2,E12,E13,a,1,2
разъяснило,объяснил,2,1,E12,E13,a,0,2
преполезнейшее,полезное,2,1,E12,E13,a,0,2
шансонетку,песенку,2,2,E12,E13,a,1,2
выявить,найти,2,0,E12,E13,a,0,2
отворил,открывал,2,1,E12,E13,a,0,2
равнодушною,равнодушной,0,2,E12,E13,a,0,2
свояченицы,родственницы,1,2,E12,E13,a,0,2
утерла,вытерла,2,1,E12,E13,a,0,2
Подымается,поднимается,2,1,E12,E13,a,0,2
затворился,уединился,2,2,E12,E13,a,1,2
мамаше,матери,2,2,E12,E13,a,1,2
соловьи,птицы,2,2,E12,E13,a,1,2
превосходно,прекрасно,0,2,E12,E13,a,0,2
корчме,трактире,0,2,E12,E13,a,0,2
ощетинился,разозлился,2,0,E12,E13,a,0,2
забрел,пришёл,2,1,E12,E13,a,0,2
бисквиты,печенье,2,1,E12,E13,a,0,2
покорилась,смирилась,2,2,E12,E13,a,1,2
Варвара,Варя,0,2,E12,E13,a,0,2
портьеру,занавеску,2,2,E12,E13,a,1,2
выразилась,сказала,2,2,E12,E13,a,1,2
излагать,сказать,2,2,E12,E13,a,1,2
бесполезную,ненужную,2,0,E12,E13,a,0,2
сожалеть,жалеть,2,1,E12,E13,a,0,2
помехой,препятствием,2,2,E12,E13,a,1,2
безобразное,ужасное,2,2,E14,E10,a,1,2
весть,новость,2,2,E14,E10,a,1,2
прибегнуть,обратиться,2,2,E14,E10,a,1,2
Господи,Бог,2,2,E14,E10,a,1,2
также,ещё,2,0,E14,E10,a,0,2
возвестил,объявил,2,2,E14,E10,a,1,2
гуляние,праздник,1,2,E14,E10,a,0,2
робкою,тихою,1,2,E14,E10,a,0,2
превосходным,прекрасным,2,2,E14,E10,a,1,2
непременная,обязательная,1,2,E14,E10,a,0,2
словоохотливость,разговорчивость,2,2,E14,E10,a,1,2
утомленная,усталая,2,2,E14,E10,a,1,2
сейчас,теперь,2,2,E14,E10,a,1,2
откликнулся,ответил,2,2,E14,E10,a,1,2
поглощена,занята,1,2,E14,E10,a,0,2
неприятеля,врага,2,2,E14,E10,a,1,2
воротился,пришёл,1,2,E14,E10,a,0,2
Верное,Правильно,0,2,E14,E10,a,0,2
похварывает,болеет,0,2,E14,E10,a,0,2
теперь,Сейчас,0,2,E14,E10,a,0,2
рыдала,плакала,2,2,E14,E10,a,1,2
благо,хорошо,2,2,E14,E10,a,1,2
уплетал,ел,2,2,E14,E10,a,1,2
конфликт,скандал,2,2,E14,E10,a,1,2
слились,объединились,2,2,E14,E10,a,1,2
унимался,успокоиться,1,2,E14,E10,a,0,2
потолковать,поговорить,2,2,E14,E10,a,1,2
ринулся,подбежал,1,2,E14,E10,a,0,2
создать,сделать,2,2,E14,E10,a,1,2
выхватить,взять,1,2,E14,E10,a,0,2
двигались,ехали,2,2,E14,E10,a,1,2
нарядилась,оделась,2,1,E14,E10,a,0,2
дамских,женских,2,2,E14,E10,a,1,2
сваливался,упал,1,2,E14,E10,a,0,2
юная,молодая,2,2,E14,E10,a,1,2
дерзкое,смелое,1,2,E14,E10,a,0,2
ребячьи,детские,2,2,E14,E10,a,1,2
пролепетала,сказала,2,1,E14,E10,a,0,2
чуждое,чужое,2,2,E14,E10,a,1,2
выяснить,узнал,1,2,E14,E10,a,0,2
устремления,интересы,2,1,E14,E10,a,0,2
припомнил,вспомнил,1,2,E2,E3,e&a,0,2
более,больше,2,1,E2,E3,e&a,0,2
вскричала,закричала,1,2,E2,E3,e&a,0,2
Maman,Мама,1,2,E2,E3,e&a,0,2
земский,провинциальный,2,1,E2,E3,e&a,0,2
Букареште,Бухаресте,0,2,E2,E3,e&a,0,2
безупречном,прекрасном,0,2,E2,E3,e&a,0,2
пора,время,2,1,E2,E3,e&a,0,2
дурная,плохая,2,2,E2,E3,e&a,1,2
припоминая,вспоминая,2,2,E2,E3,e&a,1,2
лишался,терял,2,2,E2,E3,e&a,1,2
поправить,исправить,1,2,E2,E3,e&a,0,2
грезились,снились,2,1,E2,E3,e&a,0,2
сызнова,снова,1,2,E2,E3,e,0,2
отворял,открывал,2,2,E2,E3,e&a,1,2
подвезете,отвезёте,2,1,E2,E3,e&a,0,2
скрип,звук,0,2,E2,E3,e&a,0,2
валилась,падала,0,2,E2,E3,e&a,0,2
неловко,неприятно,1,2,E2,E3,e&a,0,2
обернулся,повернулся,1,2,E2,E3,e&a,0,2
торопился,спешил,2,2,E2,E3,e&a,1,2
надобно,надо,2,2,E2,E3,e&a,1,2
отгоню,прогоню,1,2,E2,E3,e&a,0,2
несносен,неприятен,2,2,E2,E3,e&a,1,2
безмерно,очень,2,2,E2,E3,e&a,1,2
