source,target,score_1,score_2,editor_1,editor_2,partition,agreement,score_3,source_pos,target_pos,source_lemma,target_lemma,source_sentence,target_sentence,source_cefr,target_cefr,source_ipm,target_ipm,target_sentence_level,target_level_comparison
кофеем,кофе,2,2,E10,E11,a,1,2,NOUN,NOUN,кофей,кофе,С утра до вечера п - поили кофеем и разговаривали исключительно по - французски. ,С утра и до вечера кофе давали. ,,a1,0.5,61.6,b1,Word level lower than target CEFR
шевеля,двигая,2,1,E10,E11,a,0,2,VERB,VERB,шевелить,двигать,"Графиня сидела вся жёлтая, шевеля отвислыми губами, качаясь направо и налево. ","Графиня сидела вся жёлтая, двигая губами. ",c1,c1,11.6,14.3,b1,Word level higher than target CEFR
наскоро,быстро,2,2,E10,E11,a,1,2,ADV,ADV,наскоро,быстро," - Боюсь и выговорить, - так же наскоро ответила Лизавета Прокофьевна, - а по - моему ясно","— быстро проговорил Иван Фёдорович. — Боюсь и сказать, — ответила Лизавета Прокофьевна, —а по - моему, ясно. — Ясно как день. ",c1,a1,5.3,255.7,b1,Word level lower than target CEFR
бормотал,говорил,2,1,E10,E11,a,0,2,VERB,VERB,бормотать,говорить,"— Нет, пора бросить эти ребячества, — бормотал он во всё время обеда. — Пора, а то глупо и смешно. ",— говорил граф во время обеда. — Всё глупо и смешно. ,c1,a1,26.3,1755,b1,Word level lower than target CEFR
задремала,заснула,2,1,E10,E11,a,0,2,VERB,VERB,задремать,заснуть,"К утру Анна задремала, сидя в кресле, и когда проснулась, то уже было бело, светло, и поезд подходил к Петербургу. ","К утру Анна наконец заснула, а когда проснулась, уже было светло и поезд подходил к Петербургу.",,b2,6.6,29.7,b1,Word level higher than target CEFR
Скверно,плохо,2,2,E10,E11,a,1,2,ADV,ADV,скверно,плохо,Скверно могло з - закончиться.,Для вас всё могло закончиться очень плохо». ,c1,a1,4.5,126.5,b1,Word level lower than target CEFR
шутливый,весёлый,2,1,E10,E11,a,0,2,ADJ,ADJ,шутливый,весёлый,"Потом оба продолжали есть молча, как незнакомые; но после обеда пошли рядом – и начался шутливый, легкий разговор людей свободных, довольных, которым все равно, куда бы ни идти, о чем ни говорить. ","Потом они продолжали есть в молчании, как незнакомые; но после обеда пошли рядом — и начался лёгкий весёлый разговор людей свободных, довольных, которым всё равно, куда бы ни идти, о чём ни говорить. ",c1,,5,,b1,No word level
уморился,устал,2,1,E10,E11,a,0,2,VERB,VERB,умориться,устать,"Тяжело Жилину, ноги тоже в крови и уморился. ","Тяжело Жилину, устал он. ",,,0.4,58.6,a2,No word level
поэма,стихи,2,1,E10,E11,a,0,2,NOUN,NOUN,поэма,стихи,"А тут балет, поэма, бахчисарайский фонтан!","А тут балет, музыка, стихи, фонтан! ",b2,,26.3,157,b1,No word level
селом,деревней,2,0,E10,E11,a,0,2,NOUN,NOUN,село,деревня,Школа была за селом у церкви. ,Школа была за деревней. ,b2,a2,57,125.1,a2_b1,Word level in target CEFR range
